CA1533
100	1	5000	3	3	3600	600
Inst	t	#S	q	fit	#It
8	11	11	1	0.944697	1526353
31	11	12	1.09091	0.894935	1480003
50	12	12	1	0.905378	1550862
66	12	12	1	0.966289	1554471
79	13	17	1.30769	0.659254	1430142
101	12	16	1.33333	0.688717	1486308
114	13	19	1.46154	0.586655	1386805
153	12	12	1	0.906959	1488029
171	12	19	1.58333	0.56764	1442684
199	11	11	1	0.9625	1572913
205	13	13	1	0.934513	1642619
227	12	12	1	0.926053	1572190
232	12	12	1	0.952711	1612239
243	13	13	1	0.932823	1671016
281	12	16	1.33333	0.655189	1464063
318	11	11	1	0.978955	1580982
334	11	13	1.18182	0.809881	1491874
351	12	13	1.08333	0.848125	1524664
366	12	12	1	0.905646	1498382
396	12	12	1	0.914469	1589669
413	12	12	1	0.926588	1603230
420	13	13	1	0.920103	1496313
449	12	13	1.08333	0.912055	1632721
456	12	12	1	0.917633	1604086
474	13	13	1	0.911508	1576414
519	12	12	1	0.952268	1536161
539	12	12	1	0.932711	1602046
542	11	11	1	0.932005	1558703
560	11	16	1.45455	0.594748	1385415
594	12	18	1.5	0.607779	1429180
607	13	14	1.07692	0.840704	1525824
628	12	12	1	0.912195	1545304
635	13	15	1.15385	0.760317	1479774
662	12	13	1.08333	0.795643	1521032
683	11	12	1.09091	0.905668	1569716
711	12	12	1	0.942824	1609245
732	12	12	1	0.904546	1504357
744	12	13	1.08333	0.843281	1484068
772	12	14	1.16667	0.744479	1471644
799	11	12	1.09091	0.883371	1473982
808	12	16	1.33333	0.638394	1428516
828	12	12	1	0.992033	1635731
856	12	20	1.66667	0.518349	1364322
860	12	14	1.16667	0.76668	1489540
884	12	19	1.58333	0.516497	1402192
916	12	12	1	0.923238	1519795
925	11	13	1.18182	0.776378	1481324
955	12	15	1.25	0.722293	1461258
988	11	12	1.09091	0.898164	1550395
994	13	15	1.15385	0.747092	1354459
