CA10533
1000	2	5000	3	3	3600	600
Inst	t	#S	q	fit	#It
8	113	193	1.70796	0.520044	8
31	115	168	1.46087	0.625713	8
50	114	169	1.48246	0.62539	8
66	115	159	1.38261	0.673802	8
79	113	192	1.69912	0.515044	8
101	117	218	1.86325	0.469683	8
114	118	172	1.45763	0.635835	8
153	118	179	1.51695	0.603182	8
171	114	164	1.4386	0.645283	8
199	115	146	1.26957	0.746579	9
205	118	164	1.38983	0.660843	8
227	117	143	1.22222	0.771231	9
232	116	159	1.37069	0.677479	8
243	114	167	1.46491	0.631296	8
281	113	175	1.54867	0.586327	8
318	115	182	1.58261	0.567351	8
334	114	152	1.33333	0.705296	9
351	117	168	1.4359	0.645237	8
366	117	198	1.69231	0.518964	8
396	114	141	1.23684	0.760891	10
413	116	170	1.46552	0.626021	8
420	116	169	1.4569	0.634031	8
449	114	152	1.33333	0.698774	9
456	116	170	1.46552	0.630649	8
474	116	174	1.5	0.610061	8
519	116	180	1.55172	0.579375	8
539	117	175	1.49573	0.615547	8
542	117	179	1.52991	0.599687	8
560	113	166	1.46903	0.626442	8
594	112	168	1.5	0.614227	8
607	116	186	1.60345	0.556795	8
628	114	154	1.35088	0.693065	9
635	117	157	1.34188	0.700462	8
662	115	152	1.32174	0.715126	9
683	114	175	1.53509	0.599968	8
711	116	153	1.31897	0.705378	9
732	116	156	1.34483	0.696409	9
744	116	152	1.31034	0.72136	9
772	113	172	1.52212	0.605484	8
799	113	163	1.44248	0.638863	9
808	115	181	1.57391	0.577722	8
828	116	178	1.53448	0.58935	8
856	116	176	1.51724	0.597436	8
860	116	177	1.52586	0.595824	8
884	118	167	1.41525	0.647167	8
916	117	166	1.4188	0.650196	8
925	115	159	1.38261	0.673755	8
955	114	174	1.52632	0.598165	8
988	115	167	1.45217	0.639076	8
994	119	175	1.47059	0.624152	8
