CA10233
1000	1	2500	3	3	3600	600
Inst	t	#S	q	fit	#It
8	226	234	1.0354	0.937561	7
31	229	235	1.0262	0.949975	7
50	228	236	1.03509	0.943463	7
66	230	236	1.02609	0.947708	7
79	225	231	1.02667	0.948185	7
101	233	253	1.08584	0.88427	7
114	235	242	1.02979	0.947434	7
153	236	244	1.0339	0.937849	7
171	227	232	1.02203	0.955301	7
199	229	235	1.0262	0.949906	7
205	235	242	1.02979	0.947438	7
227	233	239	1.02575	0.952678	7
232	232	238	1.02586	0.95235	7
243	227	233	1.02643	0.943598	7
281	226	232	1.02655	0.94675	7
318	229	237	1.03493	0.938881	7
334	228	234	1.02632	0.948601	7
351	233	239	1.02575	0.947543	7
366	233	247	1.06009	0.906356	7
396	227	232	1.02203	0.950468	7
413	231	237	1.02597	0.94844	7
420	231	237	1.02597	0.948464	7
449	227	232	1.02203	0.952339	7
456	232	238	1.02586	0.946515	7
474	231	237	1.02597	0.949	7
519	231	237	1.02597	0.945256	7
539	234	240	1.02564	0.946055	7
542	233	240	1.03004	0.944368	7
560	225	232	1.03111	0.940767	7
594	224	230	1.02679	0.945098	7
607	231	237	1.02597	0.94452	7
628	227	233	1.02643	0.949497	7
635	233	239	1.02575	0.94734	7
662	230	237	1.03043	0.943756	7
683	228	236	1.03509	0.938004	7
711	231	236	1.02165	0.950726	7
732	232	238	1.02586	0.947083	7
744	232	238	1.02586	0.94776	7
772	226	235	1.03982	0.935175	7
799	225	233	1.03556	0.942526	7
808	230	240	1.04348	0.926493	7
828	231	236	1.02165	0.952218	7
856	231	237	1.02597	0.948652	7
860	231	238	1.0303	0.9452	7
884	235	242	1.02979	0.943373	7
916	234	241	1.02991	0.939007	7
925	230	235	1.02174	0.953092	7
955	228	234	1.02632	0.947925	7
988	230	235	1.02174	0.953678	7
994	237	244	1.02954	0.942329	7
