CR1233
100	2	2500	3	3	3600	600
Inst	t	#S	q	fit	#It
8	23	24	1.04348	0.914953	24656
31	23	28	1.21739	0.728278	4293
50	22	24	1.09091	0.843363	99034
66	24	26	1.08333	0.869284	1758
79	25	35	1.4	0.621933	56
101	19	38	2	0.409683	59021
114	22	30	1.36364	0.643151	51107
153	27	29	1.07407	0.837981	18
171	23	28	1.21739	0.717868	18927
199	22	22	1	0.943294	32308
205	24	24	1	0.947846	41273
227	24	27	1.125	0.836156	1992
232	22	29	1.31818	0.674486	10218
243	23	23	1	0.937721	128857
281	23	30	1.30435	0.674013	4058
318	28	28	1	0.952145	574
334	26	30	1.15385	0.765521	244
351	21	24	1.14286	0.804896	106175
366	24	37	1.54167	0.542959	712
396	23	23	1	0.943442	92045
413	21	22	1.04762	0.916572	156153
420	21	21	1	0.911354	37983
449	21	21	1	0.92794	401880
456	22	23	1.04545	0.928995	104003
474	26	27	1.03846	0.891703	1402
519	29	31	1.06897	0.861883	9
539	23	23	1	0.957086	141670
542	20	20	1	0.928337	645208
560	21	49	2.33333	0.311807	803
594	26	27	1.03846	0.901628	608
607	24	25	1.04167	0.884845	10884
628	22	22	1	0.942184	53495
635	25	25	1	0.931575	17400
662	23	34	1.47826	0.580615	479
683	24	29	1.20833	0.737939	195
711	22	22	1	0.968745	110121
732	25	25	1	0.941783	9664
744	21	21	1	0.958533	482547
772	24	25	1.04167	0.913019	16853
799	23	63	2.73913	0.222086	8
808	21	27	1.28571	0.707687	22357
828	22	23	1.04545	0.924573	152276
856	24	37	1.54167	0.553619	12213
860	22	23	1.04545	0.928506	195335
884	23	30	1.30435	0.650525	359
916	20	20	1	0.952369	477001
925	25	26	1.04	0.89224	821
955	27	41	1.51852	0.540248	59
988	25	26	1.04	0.868938	709
994	27	30	1.11111	0.819563	24
