CR5233
500	2	2500	3	3	3600	600
Inst	t	#S	q	fit	#It
8	111	118	1.06306	0.883271	8
31	112	134	1.19643	0.777197	7
50	109	144	1.3211	0.671123	7
66	120	146	1.21667	0.728847	7
79	118	201	1.70339	0.470682	7
101	99	202	2.0404	0.369235	7
114	111	181	1.63063	0.50681	8
153	126	179	1.42063	0.602242	7
171	114	199	1.74561	0.440694	7
199	111	115	1.03604	0.934844	8
205	125	129	1.032	0.928193	7
227	121	167	1.38017	0.627289	7
232	113	119	1.0531	0.912637	8
243	123	127	1.03252	0.930283	7
281	112	138	1.23214	0.739689	7
318	135	141	1.04444	0.914319	7
334	127	164	1.29134	0.686413	7
351	108	134	1.24074	0.714364	7
366	124	202	1.62903	0.478387	7
396	113	116	1.02655	0.941384	8
413	107	122	1.14019	0.828874	8
420	100	123	1.23	0.745139	7
449	109	120	1.10092	0.862621	8
456	115	118	1.02609	0.938528	8
474	121	125	1.03306	0.935984	7
519	140	150	1.07143	0.874464	7
539	119	122	1.02521	0.938648	8
542	95	109	1.14737	0.807204	8
560	106	233	2.19811	0.318647	7
594	126	140	1.11111	0.829094	7
607	113	128	1.13274	0.820177	7
628	111	116	1.04505	0.912063	8
635	128	135	1.05469	0.898626	7
662	118	172	1.45763	0.60134	7
683	117	170	1.45299	0.583966	7
711	114	119	1.04386	0.916202	8
732	121	127	1.04959	0.909211	7
744	106	109	1.0283	0.934674	8
772	116	150	1.2931	0.690229	7
799	111	332	2.99099	0.184399	6
808	104	132	1.26923	0.712624	7
828	112	116	1.03571	0.921619	8
856	110	192	1.74545	0.454426	7
860	118	124	1.05085	0.907449	7
884	114	157	1.37719	0.639183	7
916	102	106	1.03922	0.923697	8
925	122	128	1.04918	0.902506	7
955	132	178	1.34848	0.6312	7
988	121	131	1.08264	0.86097	7
994	128	162	1.26563	0.71059	7
