CR10533
1000	2	5000	3	3	3600	600
Inst	t	#S	q	fit	#It
8	111	184	1.65766	0.527398	8
31	112	151	1.34821	0.703475	9
50	109	277	2.54128	0.280934	8
66	120	263	2.19167	0.34076	8
79	117	364	3.11111	0.243705	8
101	99	379	3.82828	0.171832	7
114	111	342	3.08108	0.239115	7
153	125	345	2.76	0.2721	7
171	115	354	3.07826	0.218881	8
199	112	150	1.33929	0.688575	10
205	126	128	1.01587	0.958026	9
227	121	272	2.24793	0.357266	8
232	114	182	1.59649	0.565313	8
243	124	126	1.01613	0.963046	26
281	111	244	2.1982	0.381516	8
318	135	137	1.01481	0.963422	9
334	127	287	2.25984	0.346584	8
351	108	262	2.42593	0.313298	9
366	125	358	2.864	0.232772	8
396	113	114	1.00885	0.976116	549
413	107	213	1.99065	0.398922	7
420	100	203	2.03	0.421561	8
449	110	200	1.81818	0.479213	8
456	115	117	1.01739	0.965676	98
474	121	164	1.35537	0.684621	8
519	140	177	1.26429	0.722554	8
539	119	120	1.0084	0.978085	168
542	95	189	1.98947	0.416094	67
560	106	445	4.19811	0.141722	7
594	126	238	1.88889	0.434923	8
607	113	215	1.90265	0.426321	8
628	112	149	1.33036	0.688823	9
635	130	212	1.63077	0.522838	8
662	119	289	2.42857	0.338368	8
683	117	320	2.73504	0.269522	8
711	114	206	1.80702	0.486789	8
732	121	190	1.57025	0.564352	8
744	106	107	1.00943	0.969398	1528
772	115	266	2.31304	0.343567	8
799	111	670	6.03604	0.063329	6
808	104	213	2.04808	0.413962	8
828	112	113	1.00893	0.969681	605
856	109	345	3.16514	0.22576	9
860	119	190	1.59664	0.558307	8
884	115	277	2.4087	0.342608	8
916	103	128	1.24272	0.749514	288
925	121	180	1.4876	0.619681	8
955	132	352	2.66667	0.244256	7
988	121	256	2.1157	0.371686	8
994	128	301	2.35156	0.336249	8
