CA5233
500	1	2500	3	3	3600	600
Inst	t	#S	q	fit	#It
8	114	117	1.02632	0.940416	8
31	113	117	1.0354	0.932576	8
50	116	119	1.02586	0.943163	8
66	115	120	1.04348	0.919161	7
79	114	126	1.10526	0.858441	7
101	113	120	1.06195	0.900359	8
114	116	119	1.02586	0.94166	8
153	118	121	1.02542	0.940893	8
171	112	115	1.02679	0.941974	8
199	118	121	1.02542	0.940831	8
205	117	121	1.03419	0.940965	8
227	120	123	1.025	0.940117	7
232	113	115	1.0177	0.950075	8
243	114	117	1.02632	0.952383	8
281	113	116	1.02655	0.947399	8
318	118	121	1.02542	0.939955	8
334	112	116	1.03571	0.92793	8
351	117	120	1.02564	0.947894	8
366	114	123	1.07895	0.88497	8
396	115	118	1.02609	0.942204	8
413	114	119	1.04386	0.925195	8
420	114	117	1.02632	0.943063	8
449	119	123	1.03361	0.932165	7
456	116	119	1.02586	0.940152	8
474	117	120	1.02564	0.941233	8
519	111	114	1.02703	0.941873	8
539	115	119	1.03478	0.939702	8
542	114	118	1.03509	0.931902	8
560	112	114	1.01786	0.955971	8
594	113	117	1.0354	0.928998	8
607	115	118	1.02609	0.938277	8
628	111	114	1.02703	0.945892	8
635	118	121	1.02542	0.942363	8
662	117	120	1.02564	0.945323	8
683	113	116	1.02655	0.945293	8
711	114	117	1.02632	0.941761	8
732	112	116	1.03571	0.936003	8
744	117	121	1.03419	0.939142	8
772	116	120	1.03448	0.936455	8
799	111	114	1.02703	0.937121	8
808	117	121	1.03419	0.925362	7
828	113	116	1.02655	0.9495	8
856	117	120	1.02564	0.941824	8
860	111	114	1.02703	0.936695	8
884	116	120	1.03448	0.937416	7
916	114	117	1.02632	0.94195	8
925	115	119	1.03478	0.932349	8
955	116	122	1.05172	0.918154	7
988	114	117	1.02632	0.937591	8
994	113	116	1.02655	0.94206	8
