CA5533
500	1	5000	3	3	3600	600
Inst	t	#S	q	fit	#It
8	57	73	1.2807	0.728533	5026
31	57	80	1.40351	0.655184	3281
50	58	74	1.27586	0.744825	3974
66	58	76	1.31034	0.712888	3131
79	57	94	1.64912	0.540807	1124
101	57	88	1.54386	0.576172	2168
114	58	81	1.39655	0.657281	2253
153	59	83	1.40678	0.655252	1363
171	56	78	1.39286	0.672694	4483
199	59	75	1.27119	0.737054	3156
205	59	70	1.18644	0.800439	5528
227	60	71	1.18333	0.796919	3695
232	57	68	1.19298	0.782231	8913
243	57	67	1.17544	0.8307	7242
281	57	81	1.42105	0.637511	2401
318	59	80	1.35593	0.689237	1924
334	56	73	1.30357	0.714021	7267
351	59	64	1.08475	0.889952	10636
366	57	92	1.61404	0.551996	1152
396	58	65	1.12069	0.848018	10510
413	57	80	1.40351	0.658469	3160
420	57	72	1.26316	0.755173	3792
449	60	68	1.13333	0.837662	5109
456	58	65	1.12069	0.852583	9825
474	59	80	1.35593	0.681268	2102
519	56	70	1.25	0.747088	9762
539	58	70	1.2069	0.787442	5579
542	57	75	1.31579	0.704026	3987
560	56	76	1.35714	0.686012	6316
594	57	87	1.52632	0.593512	1491
607	58	89	1.53448	0.580842	1490
628	56	71	1.26786	0.739529	8024
635	59	65	1.10169	0.874811	9014
662	59	75	1.27119	0.736595	3630
683	57	67	1.17544	0.806328	9597
711	57	70	1.22807	0.769471	6592
732	56	69	1.23214	0.767071	7739
744	59	65	1.10169	0.874395	9532
772	58	70	1.2069	0.789174	5165
799	56	77	1.375	0.658385	4379
808	59	89	1.50847	0.599516	925
828	57	77	1.35088	0.691794	3986
856	59	74	1.25424	0.743818	2748
860	56	79	1.41071	0.646216	4412
884	58	78	1.34483	0.696342	2416
916	57	74	1.29825	0.722801	5374
925	58	76	1.31034	0.703665	2846
955	58	88	1.51724	0.602883	1350
988	57	79	1.38596	0.668564	3514
994	57	72	1.26316	0.741537	4756
