CR5533
500	2	5000	3	3	3600	600
Inst	t	#S	q	fit	#It
8	56	84	1.5	0.59237	2619
31	56	70	1.25	0.764239	5315
50	55	133	2.41818	0.283337	14
66	60	122	2.03333	0.385615	100
79	59	172	2.91525	0.263317	37
101	50	189	3.78	0.170524	8
114	56	167	2.98214	0.244308	17
153	63	166	2.63492	0.286797	8
171	57	162	2.84211	0.249372	1242
199	56	68	1.21429	0.776455	9636
205	63	63	1	0.971214	13261
227	61	133	2.18033	0.366835	162
232	57	84	1.47368	0.61803	2019
243	62	62	1	0.971559	21541
281	56	114	2.03571	0.416296	415
318	68	68	1	0.978618	8297
334	64	142	2.21875	0.35211	20
351	54	125	2.31481	0.336447	2402
366	62	180	2.90323	0.231289	8
396	57	57	1	0.974718	79040
413	54	101	1.87037	0.437282	44
420	50	89	1.78	0.49374	7681
449	55	88	1.6	0.556547	3513
456	58	58	1	0.970925	40167
474	61	70	1.14754	0.82933	4335
519	70	83	1.18571	0.788729	90
539	60	60	1	0.971167	68420
542	48	83	1.72917	0.501012	39661
560	53	225	4.24528	0.139877	7
594	63	118	1.87302	0.446992	15
607	57	97	1.70175	0.490413	2841
628	56	67	1.19643	0.778387	5811
635	64	100	1.5625	0.549407	23
662	59	139	2.35593	0.359812	72
683	59	153	2.59322	0.291527	39
711	57	96	1.68421	0.513419	1491
732	61	82	1.34426	0.670791	1819
744	53	54	1.01887	0.962806	117006
772	58	121	2.08621	0.394602	583
799	56	332	5.92857	0.066551	6
808	52	99	1.90385	0.463782	3246
828	56	57	1.01786	0.961545	84538
856	55	165	3	0.239516	2607
860	59	79	1.33898	0.694696	3725
884	57	132	2.31579	0.367687	12
916	51	58	1.13725	0.839745	64774
925	61	82	1.34426	0.694193	499
955	66	178	2.69697	0.243276	7
988	61	127	2.08197	0.378208	26
994	64	144	2.25	0.358975	15
