CR1533
100	2	5000	3	3	3600	600
Inst	t	#S	q	fit	#It
8	12	13	1.08333	0.833649	1410429
31	12	17	1.41667	0.608179	1526852
50	11	20	1.81818	0.42906	1373794
66	12	18	1.5	0.590285	1250272
79	13	31	2.38462	0.320046	1249291
101	10	38	3.8	0.170863	499161
114	11	31	2.81818	0.275335	1383217
153	14	22	1.57143	0.53295	1070800
171	12	20	1.66667	0.468089	1529098
199	11	15	1.36364	0.638171	1433586
205	12	12	1	0.95143	1607930
227	12	19	1.58333	0.568548	1467902
232	11	24	2.18182	0.383692	1454414
243	12	12	1	0.9066	1278567
281	12	25	2.08333	0.373059	1410922
318	14	14	1	0.956644	1802960
334	13	28	2.15385	0.362477	1316071
351	11	23	2.09091	0.372962	1185075
366	12	36	3	0.229103	1315946
396	12	12	1	0.911438	1623104
413	11	18	1.63636	0.493868	829580
420	11	15	1.36364	0.603151	1566853
449	11	11	1	0.89383	1534289
456	11	12	1.09091	0.899866	1494914
474	13	14	1.07692	0.86451	1655440
519	15	16	1.06667	0.855418	1260959
539	12	12	1	0.917463	1732640
542	10	11	1.1	0.83429	1476240
560	11	49	4.45455	0.130015	342704
594	13	19	1.46154	0.603135	1052965
607	12	17	1.41667	0.596625	1324809
628	11	11	1	0.943271	1387250
635	13	13	1	0.892857	1418011
662	12	32	2.66667	0.286175	1466643
683	12	26	2.16667	0.383213	1239835
711	11	13	1.18182	0.790472	1461813
732	13	13	1	0.903458	1492391
744	11	11	1	0.912428	1619515
772	12	17	1.41667	0.642402	1540768
799	12	63	5.25	0.080393	11
808	11	20	1.81818	0.45543	1488677
828	11	11	1	0.988238	1644634
856	12	36	3	0.219849	1487543
860	11	12	1.09091	0.902693	1603698
884	12	27	2.25	0.355354	1178171
916	10	10	1	0.953158	1416900
925	13	18	1.38462	0.622771	1363078
955	14	41	2.92857	0.211347	18369
988	13	26	2	0.364833	1015335
994	14	23	1.64286	0.506328	1188373
